HKL	          d	    F^2	  M	
[1,-2,12]	 0.96541	  621.92	  12
[2,-1,12]	 0.96541	  621.92	  12
[-2,1,12]	 0.96541	  621.92	  12
[2,-1,-12]	 0.96541	  621.92	  12
[0,-4,-8]	 0.96014	 1907.16	   6
[0,4,8] 	 0.96014	 1907.16	   6
[-4,0,8]	 0.96014	 1907.16	   6
[4,0,-8]	 0.96014	 1907.16	   6
[-4,2,-6]	 0.95542	 2120.48	  12
[-2,4,-6]	 0.95542	 2120.48	  12
[2,-4,6]	 0.95542	 2120.48	  12
[4,-2,6]	 0.95542	 2120.48	  12
[-4,2,6]	 0.95542	 2120.48	  12
[-2,4,6]	 0.95542	 2120.48	  12
[2,-4,-6]	 0.95542	 2120.48	  12
[4,-2,-6]	 0.95542	 2120.48	  12
[-4,-3,-1]	 0.94962	  275.28	  12
[-4,3,-1]	 0.94962	  869.69	  12
[-3,-4,1]	 0.94962	  275.28	  12
[-3,4,-1]	 0.94962	  869.69	  12
[3,-4,1]	 0.94962	  869.69	  12
[3,4,-1]	 0.94962	  275.28	  12
[4,-3,1]	 0.94962	  869.69	  12
[4,3,1] 	 0.94962	  275.28	  12
[-5,0,-2]	 0.94210	   73.12	   6
[-4,-3,2]	 0.94210	 2090.51	  12
[-4,3,2]	 0.94210	  666.02	  12
[-3,-4,-2]	 0.94210	 2090.51	  12
[-3,4,2]	 0.94210	  666.02	  12
[0,-5,2]	 0.94210	   73.12	   6
[0,5,-2]	 0.94210	   73.12	   6
[3,-4,-2]	 0.94210	  666.02	  12
[3,4,2] 	 0.94210	 2090.51	  12
[4,-3,-2]	 0.94210	  666.02	  12
[4,3,-2]	 0.94210	 2090.51	  12
[5,0,2] 	 0.94210	   73.12	   6
[-4,1,-8]	 0.94119	  956.45	  12
[-1,4,-8]	 0.94119	  956.45	  12
[1,-4,8]	 0.94119	  956.45	  12
[4,-1,8]	 0.94119	  956.45	  12
[-5,1,0]	 0.93367	 1795.56	  12
[-1,5,0]	 0.93367	 1795.56	  12
[1,-5,0]	 0.93367	 1795.56	  12
[5,-1,0]	 0.93367	 1795.56	  12
[-5,-1,-1]	 0.93127	 7368.34	  12
[-1,-5,1]	 0.93127	 7368.34	  12
[1,5,-1]	 0.93127	 7368.34	  12
[5,1,1] 	 0.93127	 7368.34	  12
[-3,-1,-11]	 0.92951	  869.69	  12
[-1,-3,11]	 0.92951	  869.69	  12
[1,3,-11]	 0.92951	  869.69	  12
[3,1,11]	 0.92951	  869.69	  12
[-3,1,11]	 0.92951	 1734.38	  12
[-1,3,11]	 0.92951	 1734.38	  12
[1,-3,-11]	 0.92951	 1734.38	  12
[3,-1,-11]	 0.92951	 1734.38	  12
[-3,-2,-10]	 0.92629	  296.04	  12
[-3,2,10]	 0.92629	  665.60	  12
[-2,-3,10]	 0.92629	  296.04	  12
[-2,3,10]	 0.92629	  665.60	  12
[2,-3,-10]	 0.92629	  665.60	  12
[2,3,-10]	 0.92629	  296.04	  12
[3,-2,-10]	 0.92629	  665.60	  12
[3,2,10]	 0.92629	  296.04	  12
[-5,-1,2]	 0.92418	   21.33	  12
[-1,-5,-2]	 0.92418	   21.33	  12
[1,5,2] 	 0.92418	   21.33	  12
[5,1,-2]	 0.92418	   21.33	  12
[-2,-4,-7]	 0.92354	  617.86	  12
[2,4,7] 	 0.92354	  617.86	  12
[-4,-2,7]	 0.92354	  617.86	  12
[4,2,-7]	 0.92354	  617.86	  12
[-5,0,4]	 0.91374	  339.30	   6
[-4,-3,-4]	 0.91374	15294.17	  12
[-4,3,-4]	 0.91374	 5116.83	  12
[-3,-4,4]	 0.91374	15294.17	  12
[-3,4,-4]	 0.91374	 5116.83	  12
[0,-5,-4]	 0.91374	  339.30	   6
[0,5,4] 	 0.91374	  339.30	   6
[3,-4,4]	 0.91374	 5116.83	  12
[3,4,-4]	 0.91374	15294.17	  12
[4,-3,4]	 0.91374	 5116.83	  12
[4,3,4] 	 0.91374	15294.17	  12
[5,0,-4]	 0.91374	  339.30	   6
[-5,1,-3]	 0.91272	 2168.73	  12
[-5,1,3]	 0.91272	 2168.73	  12
[-1,5,-3]	 0.91272	 2168.73	  12
[1,-5,3]	 0.91272	 2168.73	  12
[5,-1,-3]	 0.91272	 2168.73	  12
[5,-1,3]	 0.91272	 2168.73	  12
[-1,5,3]	 0.91272	 2168.73	  12
[1,-5,-3]	 0.91272	 2168.73	  12
[-1,0,14]	 0.91126	 2897.19	   6
[0,-1,-14]	 0.91126	 2897.19	   6
[0,1,14]	 0.91126	 2897.19	   6
[1,0,-14]	 0.91126	 2897.19	   6
[-2,-2,-12]	 0.91086	  537.34	  12
[2,2,12]	 0.91086	  537.34	  12
[-2,-2,12]	 0.91086	  537.34	  12
[2,2,-12]	 0.91086	  537.34	  12
[-2,-1,-13]	 0.90501	  253.04	  12
[-1,-2,13]	 0.90501	  253.04	  12
[1,2,-13]	 0.90501	  253.04	  12
[2,1,13]	 0.90501	  253.04	  12
[-4,-1,-9]	 0.90186	14864.71	  12
[-1,-4,-9]	 0.90186	14864.71	  12
[-1,-4,9]	 0.90186	14864.71	  12
[1,4,-9]	 0.90186	14864.71	  12
[1,4,9] 	 0.90186	14864.71	  12
[4,1,9] 	 0.90186	14864.71	  12
[-4,-1,9]	 0.90186	14864.71	  12
[4,1,-9]	 0.90186	14864.71	  12
[-5,-1,-4]	 0.89736	   65.99	  12
[-1,-5,4]	 0.89736	   65.99	  12
[1,5,-4]	 0.89736	   65.99	  12
[5,1,4] 	 0.89736	   65.99	  12
[-1,1,-14]	 0.89501	 2897.19	   6
[1,-1,14]	 0.89501	 2897.19	   6
[-3,0,-12]	 0.89463	 4357.94	   6
[0,-3,-12]	 0.89463	 4357.94	   6
[0,3,12]	 0.89463	 4357.94	   6
[3,0,12]	 0.89463	 4357.94	   6
[-3,0,12]	 0.89463	 4357.94	   6
[0,-3,12]	 0.89463	 4357.94	   6
[0,3,-12]	 0.89463	 4357.94	   6
[3,0,-12]	 0.89463	 4357.94	   6
[-4,-3,5]	 0.89407	  420.59	  12
[-3,-4,-5]	 0.89407	  420.59	  12
[3,4,5] 	 0.89407	  420.59	  12
[4,3,-5]	 0.89407	  420.59	  12
[-4,3,5]	 0.89407	 1328.76	  12
[-3,4,5]	 0.89407	 1328.76	  12
[3,-4,-5]	 0.89407	 1328.76	  12
[4,-3,-5]	 0.89407	 1328.76	  12
[-4,-2,-8]	 0.89044	  241.73	  12
[-2,-4,8]	 0.89044	  241.73	  12
[2,4,-8]	 0.89044	  241.73	  12
[4,2,8] 	 0.89044	  241.73	  12
[-3,-3,-9]	 0.88610	   36.73	  12
[3,3,9] 	 0.88610	   36.73	  12
[-3,-3,9]	 0.88610	   36.73	  12
[3,3,-9]	 0.88610	   36.73	  12
[-5,-2,0]	 0.88406	 1494.54	  12
[-2,-5,0]	 0.88406	 1494.54	  12
[2,5,0] 	 0.88406	 1494.54	  12
[5,2,0] 	 0.88406	 1494.54	  12
[-5,2,-1]	 0.88202	 2525.40	  12
[-2,5,-1]	 0.88202	 2525.40	  12
[2,-5,1]	 0.88202	 2525.40	  12
[5,-2,1]	 0.88202	 2525.40	  12
[-2,-3,-11]	 0.88053	 2525.40	  12
[2,3,11]	 0.88053	 2525.40	  12
[-3,-2,11]	 0.88053	 2525.40	  12
